"Figure 1. Deaths Classified as ""Heat-Related"" in the United States, 1979-2022",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: CDC, 2024",,
Web update: June 2024,,
Units: death rate (per million people),,
,,
Year,Underlying cause of death (all year),Underlying and contributing causes of death (May-Sept)
1979,0.24038954,
1980,2.87259485,
1981,0.48804399,
1982,0.32369244,
1983,0.87260877,
1984,0.39419784,
1985,0.47477852,
1986,0.57038206,
1987,0.62295006,
1988,0.85836222,
1989,0.38056409,
1990,0.59054617,
1991,0.39116818,
1992,0.26110021,
1993,0.46149473,
1994,0.38367814,
1995,1.36643512,
1996,0.45262168,
1997,0.35193625,
1998,0.81512038,
1999,2.12872578,3.766482824
2000,1.06956848,1.716284304
2001,1.05274625,1.859851716
2002,1.21686142,2.134722601
2003,0.94102908,1.396032145
2004,0.77184396,1.007495431
2005,1.57689958,2.341662033
2006,2.08459074,3.348080617
2007,1.02579013,1.782683824
2008,0.97338334,1.637651699
2009,1.14743373,1.789605449
2010,1.53524486,2.571697085
2011,1.88387429,3.218953847
2012,1.50996751,2.65677827
2013,1.17673541,2.037144103
2014,0.76523318,1.267025435
2015,1.05469866,1.792054367
2016,1.4173971,2.522224098
2017,1.42761014,2.698643676
2018,1.63524833,3.080991246
2019,1.53851064,2.766272604
2020,2.03955199,3.499409894
2021,2.82319271,4.820819989
2022,2.93140257,
