"Figure 2. Summer Deaths Due to Heat and Cardiovascular Disease in the United States, 1999–2022",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: CDC, 2024",,,
Web update: June 2024,,,
Units: death rate (per million people),,,
,,,
Year,"Crude summer death rate per million, general population","Crude summer death rate per million, age 65+ population","Crude summer death rate per million, non-Hispanic black population"
1999,1.082281458,5.977382332,3.139198754
2000,0.3695519,2.200518505,1.054377105
2001,0.477244969,2.833640561,0.925967782
2002,0.563232999,3.012200227,1.359226921
2003,0.224054542,1.059572247,0.384380902
2004,0.078550491,0.276217769,Suppressed
2005,0.382381228,2.155537119,0.858582455
2006,0.777532235,3.955429361,1.643712356
2007,0.371807427,1.744844928,0.838032009
2008,0.322268808,1.598860332,0.802033896
2009,0.299897452,1.564740837,0.511445969
2010,0.5149872,2.384027966,1.369267893
2011,0.77665686,3.551227214,1.627241688
2012,0.618003578,2.665408532,1.163614382
2013,0.446020681,1.879023375,0.661730873
2014,0.137992869,0.605494285,Suppressed
2015,0.308009344,1.193446047,0.478726782
2016,0.495160559,2.030696207,0.73561396
2017,0.429818105,1.76960947,0.281529141
2018,0.565459703,2.326859128,0.709007919
2019,0.441750581,1.757363162,0.510359223
2020,0.458292189,1.688844276,0.434495663
2021,0.686966848,2.506806292,0.860039634
2022,0.741101775,2.803017819,0.736858877
