date,measure_key,measure_label,unit,value,flag
1995-06-01,deaths_1995,"Daily deaths, 1995",deaths,164,
1995-06-01,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160.9090909,
1995-06-01,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,80.06,
1995-06-02,deaths_1995,"Daily deaths, 1995",deaths,173,
1995-06-02,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,168.1818182,
1995-06-02,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,75.92,
1995-06-03,deaths_1995,"Daily deaths, 1995",deaths,160,
1995-06-03,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,162,
1995-06-03,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,75.02,
1995-06-04,deaths_1995,"Daily deaths, 1995",deaths,188,
1995-06-04,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,161.0909091,
1995-06-04,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,78.98,
1995-06-05,deaths_1995,"Daily deaths, 1995",deaths,190,
1995-06-05,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,165.5454545,
1995-06-05,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,80.06,
1995-06-06,deaths_1995,"Daily deaths, 1995",deaths,189,
1995-06-06,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.6363636,
1995-06-06,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.98,
1995-06-07,deaths_1995,"Daily deaths, 1995",deaths,189,
1995-06-07,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,166.0909091,
1995-06-07,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,91.94,
1995-06-08,deaths_1995,"Daily deaths, 1995",deaths,133,
1995-06-08,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,168,
1995-06-08,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,57.92,
1995-06-09,deaths_1995,"Daily deaths, 1995",deaths,163,
1995-06-09,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,165,
1995-06-09,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,69.08,
1995-06-10,deaths_1995,"Daily deaths, 1995",deaths,157,
1995-06-10,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.7272727,
1995-06-10,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,82.94,
1995-06-11,deaths_1995,"Daily deaths, 1995",deaths,178,
1995-06-11,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,165.7272727,
1995-06-11,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,66.92,
1995-06-12,deaths_1995,"Daily deaths, 1995",deaths,161,
1995-06-12,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,164.9090909,
1995-06-12,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,73.04,
1995-06-13,deaths_1995,"Daily deaths, 1995",deaths,177,
1995-06-13,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,166.5454545,
1995-06-13,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.92,
1995-06-14,deaths_1995,"Daily deaths, 1995",deaths,173,
1995-06-14,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,160,
1995-06-14,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.96,
1995-06-15,deaths_1995,"Daily deaths, 1995",deaths,161,
1995-06-15,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159.3636364,
1995-06-15,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-06-16,deaths_1995,"Daily deaths, 1995",deaths,191,
1995-06-16,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163.4545455,
1995-06-16,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.06,
1995-06-17,deaths_1995,"Daily deaths, 1995",deaths,159,
1995-06-17,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,158.8181818,
1995-06-17,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,89.96,
1995-06-18,deaths_1995,"Daily deaths, 1995",deaths,187,
1995-06-18,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,169.6363636,
1995-06-18,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,93.02,
1995-06-19,deaths_1995,"Daily deaths, 1995",deaths,177,
1995-06-19,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,167.8181818,
1995-06-19,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,93.92,
1995-06-20,deaths_1995,"Daily deaths, 1995",deaths,180,
1995-06-20,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,164.4545455,
1995-06-20,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,95,
1995-06-21,deaths_1995,"Daily deaths, 1995",deaths,181,
1995-06-21,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,166.3636364,
1995-06-21,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,86,
1995-06-22,deaths_1995,"Daily deaths, 1995",deaths,177,
1995-06-22,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,161.1818182,
1995-06-22,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,93.02,
1995-06-23,deaths_1995,"Daily deaths, 1995",deaths,168,
1995-06-23,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,162.5454545,
1995-06-23,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,91.04,
1995-06-24,deaths_1995,"Daily deaths, 1995",deaths,166,
1995-06-24,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,167.5454545,
1995-06-24,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,93.92,
1995-06-25,deaths_1995,"Daily deaths, 1995",deaths,158,
1995-06-25,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,165.1818182,
1995-06-25,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.98,
1995-06-26,deaths_1995,"Daily deaths, 1995",deaths,151,
1995-06-26,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159,
1995-06-26,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.02,
1995-06-27,deaths_1995,"Daily deaths, 1995",deaths,160,
1995-06-27,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163,
1995-06-27,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,80.06,
1995-06-28,deaths_1995,"Daily deaths, 1995",deaths,165,
1995-06-28,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,156.7272727,
1995-06-28,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,82.04,
1995-06-29,deaths_1995,"Daily deaths, 1995",deaths,159,
1995-06-29,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,162.4545455,
1995-06-29,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,87.08,
1995-06-30,deaths_1995,"Daily deaths, 1995",deaths,156,
1995-06-30,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159.8181818,
1995-06-30,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,82.04,
1995-07-01,deaths_1995,"Daily deaths, 1995",deaths,162,
1995-07-01,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,161.2727273,
1995-07-01,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,75.92,
1995-07-02,deaths_1995,"Daily deaths, 1995",deaths,173,
1995-07-02,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,157.7272727,
1995-07-02,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,77,
1995-07-03,deaths_1995,"Daily deaths, 1995",deaths,169,
1995-07-03,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,164,
1995-07-03,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,82.04,
1995-07-04,deaths_1995,"Daily deaths, 1995",deaths,153,
1995-07-04,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,155.3636364,
1995-07-04,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.02,
1995-07-05,deaths_1995,"Daily deaths, 1995",deaths,171,
1995-07-05,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,165.8181818,
1995-07-05,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,84.92,
1995-07-06,deaths_1995,"Daily deaths, 1995",deaths,152,
1995-07-06,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,159.8181818,
1995-07-06,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,78.08,
1995-07-07,deaths_1995,"Daily deaths, 1995",deaths,157,
1995-07-07,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,162.9090909,
1995-07-07,high_temp_f,"Daily high temperature, 1995",degrees Fahrenheit,78.98,
1995-07-08,deaths_1995,"Daily deaths, 1995",deaths,170,
1995-07-08,deaths_avg_1990_2000,"Average daily deaths, 1990-2000",deaths,163,
