year,series_key,series_label,icd_revision,measure,unit,value,flag
1979,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.24038954,
1980,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,2.87259485,
1981,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.48804399,
1982,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.32369244,
1983,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.87260877,
1984,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.39419784,
1985,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.47477852,
1986,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.57038206,
1987,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.62295006,
1988,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.85836222,
1989,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.38056409,
1990,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.59054617,
1991,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.39116818,
1992,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.26110021,
1993,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.46149473,
1994,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.38367814,
1995,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,1.36643512,
1996,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.45262168,
1997,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.35193625,
1998,underlying_all_year,Underlying cause of death (all year),ICD-9,death_rate,deaths per million people,0.81512038,
1999,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,2.12872578,
1999,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,3.766482824,
2000,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,1.06956848,
2000,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,1.716284304,
2001,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,1.05274625,
2001,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,1.859851716,
2002,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,1.21686142,
2002,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,2.134722601,
2003,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,0.94102908,
2003,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,1.396032145,
2004,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,0.77184396,
2004,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,1.007495431,
2005,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,1.57689958,
2005,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,2.341662033,
2006,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,2.08459074,
2006,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,3.348080617,
2007,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,1.02579013,
2007,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,1.782683824,
2008,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,0.97338334,
2008,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,1.637651699,
2009,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,1.14743373,
2009,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,1.789605449,
2010,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,1.53524486,
2010,underlying_or_contributing_may_sep,Underlying and contributing causes of death (May-Sept),ICD-10,death_rate,deaths per million people,2.571697085,
2011,underlying_all_year,Underlying cause of death (all year),ICD-10,death_rate,deaths per million people,1.88387429,
