year,population_key,population_label,measure,unit,value,flag
1999,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,5.977382332,
1999,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,3.139198754,
1999,general,General population,crude_summer_death_rate,deaths per million people,1.082281458,
2000,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.200518505,
2000,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,1.054377105,
2000,general,General population,crude_summer_death_rate,deaths per million people,0.3695519,
2001,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.833640561,
2001,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.925967782,
2001,general,General population,crude_summer_death_rate,deaths per million people,0.477244969,
2002,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,3.012200227,
2002,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,1.359226921,
2002,general,General population,crude_summer_death_rate,deaths per million people,0.563232999,
2003,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.059572247,
2003,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.384380902,
2003,general,General population,crude_summer_death_rate,deaths per million people,0.224054542,
2004,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,0.276217769,
2004,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,,suppressed
2004,general,General population,crude_summer_death_rate,deaths per million people,0.078550491,
2005,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.155537119,
2005,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.858582455,
2005,general,General population,crude_summer_death_rate,deaths per million people,0.382381228,
2006,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,3.955429361,
2006,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,1.643712356,
2006,general,General population,crude_summer_death_rate,deaths per million people,0.777532235,
2007,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.744844928,
2007,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.838032009,
2007,general,General population,crude_summer_death_rate,deaths per million people,0.371807427,
2008,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.598860332,
2008,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.802033896,
2008,general,General population,crude_summer_death_rate,deaths per million people,0.322268808,
2009,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.564740837,
2009,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.511445969,
2009,general,General population,crude_summer_death_rate,deaths per million people,0.299897452,
2010,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.384027966,
2010,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,1.369267893,
2010,general,General population,crude_summer_death_rate,deaths per million people,0.5149872,
2011,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,3.551227214,
2011,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,1.627241688,
2011,general,General population,crude_summer_death_rate,deaths per million people,0.77665686,
2012,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.665408532,
2012,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,1.163614382,
2012,general,General population,crude_summer_death_rate,deaths per million people,0.618003578,
2013,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.879023375,
2013,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.661730873,
2013,general,General population,crude_summer_death_rate,deaths per million people,0.446020681,
2014,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,0.605494285,
2014,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,,suppressed
2014,general,General population,crude_summer_death_rate,deaths per million people,0.137992869,
2015,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.193446047,
2015,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.478726782,
2015,general,General population,crude_summer_death_rate,deaths per million people,0.308009344,
2016,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.030696207,
2016,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.73561396,
2016,general,General population,crude_summer_death_rate,deaths per million people,0.495160559,
2017,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.76960947,
2017,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.281529141,
2017,general,General population,crude_summer_death_rate,deaths per million people,0.429818105,
2018,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.326859128,
2018,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.709007919,
2018,general,General population,crude_summer_death_rate,deaths per million people,0.565459703,
2019,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.757363162,
2019,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.510359223,
2019,general,General population,crude_summer_death_rate,deaths per million people,0.441750581,
2020,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,1.688844276,
2020,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.434495663,
2020,general,General population,crude_summer_death_rate,deaths per million people,0.458292189,
2021,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.506806292,
2021,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.860039634,
2021,general,General population,crude_summer_death_rate,deaths per million people,0.686966848,
2022,age_65_plus,Age 65+,crude_summer_death_rate,deaths per million people,2.803017819,
2022,nh_black,Non-Hispanic Black people,crude_summer_death_rate,deaths per million people,0.736858877,
2022,general,General population,crude_summer_death_rate,deaths per million people,0.741101775,
